sid,loam,itdc,mana,eci,buetc,intpr,st,cala,calb,ec,ac,sadm,mis,cppg,dtst,opsy,oopg,pcpg,adcpg,itmuis,nwkpm,itdcn,inkpg,idbs,dbms,boodis
SD970581 ,1,81,73,76,92,62,83,67,60,68,84,78,87,80,81,83,79,80,62,88,80,91,90,72,79,80
SD970582 ,1,71,85,63,76,76,32,60,60,81,65,60,93,60,84,86,64,60,60,72,60,69,85,40,60,84
SD970583 ,0,80,96,92,98,98,91,64,83,81,95,80,91,88,93,90,88,88,62,86,98,98,90,89,88,80
SD970584 ,1,65,78,83,60,53,50,60,60,66,61,64,91,50,60,72,60,60,60,62,47,43,88,45,60,80
SD970587 ,0,69,53,85,69,53,36,60,60,65,57,68,74,76,71,60,60,76,60,67,51,55,88,60,70,80
SD970588 ,1,81,66,88,0,45,12,45,30,84,60,26,0,62,46,0,47,62,63,37,64,76,0,40,0,0
SD970590 ,0,72,76,84,71,63,50,60,60,63,60,82,86,43,63,71,60,60,60,66,61,60,90,50,64,80
SD970591 ,0,68,62,94,91,73,75,60,82,66,78,76,95,62,80,76,69,62,60,93,86,70,94,69,84,84
SD970592 ,1,61,74,91,93,74,74,60,93,68,74,88,88,60,74,83,71,60,60,76,84,60,90,82,87,82
SD970593 ,0,69,70,83,78,79,88,60,60,82,78,71,94,56,74,78,60,60,60,60,66,65,94,62,67,80
SD970594 ,1,70,50,84,79,71,65,60,60,77,69,73,96,70,71,75,46,70,51,60,51,84,90,60,78,80
SD970595 ,0,78,70,86,60,55,47,60,60,80,75,67,80,89,67,83,61,89,69,69,26,52,88,40,64,82
SD970596 ,0,75,67,84,88,66,72,48,75,69,77,73,92,80,80,70,72,80,65,87,64,79,89,65,80,80
SD970597 ,0,86,67,97,96,89,98,60,86,83,90,83,91,91,96,87,79,91,87,89,98,98,93,82,84,80
SD970598 ,1,80,60,84,81,75,63,60,76,91,80,60,90,73,73,81,61,73,62,76,64,60,90,62,72,80
SD970599 ,0,79,83,86,94,83,86,60,70,79,86,80,88,80,80,87,66,80,60,90,98,98,86,81,78,80
SD970600 ,0,74,70,91,82,64,64,60,50,68,63,50,91,55,82,73,60,60,60,73,71,60,89,60,63,80
SD970601 ,0,70,63,90,68,54,68,62,60,81,70,67,75,93,88,77,82,93,71,70,98,98,88,73,84,80
SD970602 ,0,63,69,84,65,41,51,60,76,71,60,68,89,69,75,60,62,69,51,60,68,78,90,60,65,80
SD970603 ,0,75,67,82,93,76,70,60,80,60,78,68,91,63,64,81,61,63,60,81,81,60,94,66,70,80
SD970604 ,0,74,73,92,91,69,89,60,70,66,76,82,92,60,63,92,68,60,60,81,61,60,85,74,83,80
SD970606 ,1,75,86,95,90,71,95,61,60,74,85,85,90,76,68,91,77,76,60,91,89,83,91,81,84,80
SD970607 ,0,69,74,89,77,69,73,40,60,69,71,75,84,49,75,83,35,60,51,77,66,73,90,60,77,80
SD970608 ,1,72,72,60,63,20,35,60,60,64,70,72,79,53,60,60,16,60,50,60,60,50,88,40,62,82
SD970609 ,1,67,84,88,85,71,88,60,65,64,85,87,92,70,73,86,70,70,50,90,86,71,89,75,82,80
SD970610 ,0,73,74,83,95,81,96,68,60,79,77,73,93,90,78,84,81,90,63,83,95,95,89,69,86,80
SD970611 ,1,62,69,73,55,56,25,60,60,68,69,78,72,67,62,64,60,67,48,60,24,43,86,40,63,80
