sid,pjm,ines,cala,calb,sta,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD990638 ,92,91,76,75,82,91,77,90,92,90,89,80,60,71,61,60,61,88,80,90,91,70,99
SD990639 ,88,88,60,38,67,53,71,88,92,80,71,80,63,41,60,63,60,82,67,61,67,49,98
SD990640 ,NA,61,85,83,68,74,73,79,72,50,71,66,90,36,72,90,65,74,70,20,61,29,15
SD990641 ,85,82,71,60,64,93,87,86,90,63,71,71,77,60,75,77,70,73,68,88,78,48,81
SD990642 ,92,90,76,98,90,87,94,89,92,93,90,88,76,75,75,76,73,92,90,97,97,75,99
SD990643 ,79,76,63,40,60,60,71,82,90,47,51,80,78,43,60,78,26,60,60,53,60,45,63
SD990644 ,79,90,67,60,62,60,84,79,90,65,76,60,79,63,60,79,60,80,73,76,75,48,84
SD990645 ,84,88,81,68,64,52,72,87,90,83,70,95,33,60,60,60,35,80,66,70,71,60,69
SD990646 ,88,87,82,73,70,82,74,88,90,80,88,62,89,78,61,89,70,89,80,72,85,67,90
SD990647 ,86,94,86,79,86,89,84,91,90,80,85,77,82,83,75,82,62,85,76,96,94,64,88
SD990648 ,84,89,NA,NA,73,NA,NA,NA,84,80,75,NA,NA,60,60,60,NA,83,NA,77,81,68,79
SD990649 ,NA,NA,NA,NA,60,NA,NA,77,NA,NA,NA,NA,19,13,NA,0,NA,39,NA,NA,NA,NA,NA
SD990650 ,91,69,NA,NA,60,NA,NA,86,90,NA,78,NA,NA,60,61,75,NA,85,NA,91,86,60,79
SD990651 ,85,90,NA,NA,62,NA,NA,83,90,77,83,NA,65,60,60,65,NA,77,NA,90,86,66,65
SD990652 ,72,70,60,81,61,53,60,70,60,55,64,77,67,76,84,67,61,60,69,89,90,60,70
SD990653 ,NA,NA,37,28,42,55,22,1,NA,NA,NA,63,10,22,NA,1,15,1,10,NA,NA,NA,NA
SD990654 ,NA,NA,60,NA,NA,53,NA,NA,NA,NA,NA,78,19,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
SD990655 ,62,75,92,87,64,72,49,79,61,68,60,72,63,71,67,85,61,81,39,85,64,60,71
SD990656 ,70,76,50,60,70,66,63,81,71,71,72,73,76,71,96,63,64,74,71,90,66,61,79
SD990657 ,81,60,67,61,60,60,70,66,91,60,63,80,55,67,76,65,69,17,60,0,18,64,14
SD990658 ,92,92,85,85,83,85,90,81,96,85,84,84,66,75,88,66,64,83,76,87,100,79,92
