sid,pjm,ines,st,cala,calb,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,opsy,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,idbs,dbms
SD980654 ,87,90,94,94,98,86,83,78,80,86,86,84,81,81,77,77,65,86,86,91,94,75,91
SD980655 ,60,82,60,53,9,53,74,80,85,67,69,72,61,60,60,61,60,60,66,76,62,63,30
SD980656 ,NA,NA,20,53,35,51,61,53,NA,NA,NA,71,68,51,NA,NA,79,50,30,11,NA,NA,NA
SD980657 ,78,83,65,72,80,74,76,71,85,80,73,72,74,68,72,70,69,60,73,80,75,63,91
SD980658 ,86,82,60,77,81,68,70,71,83,80,83,68,86,62,70,77,86,61,60,66,89,60,75
SD980659 ,72,71,71,95,94,79,84,78,85,73,82,84,86,85,76,77,97,90,99,96,88,80,79
SD980660 ,74,69,60,79,81,78,89,81,90,65,70,80,73,69,65,69,82,60,70,53,64,67,30
SD980661 ,91,92,91,90,88,85,88,86,90,92,87,86,81,82,90,81,72,87,96,93,96,83,89
SD980662 ,83,90,60,80,82,66,75,60,83,75,66,77,66,63,73,68,70,60,60,60,82,60,76
SD980663 ,81,90,64,75,72,66,73,67,83,79,62,71,73,61,69,69,73,66,60,68,81,72,82
SD980664 ,82,80,60,72,76,68,76,75,80,80,74,69,67,75,79,78,78,63,67,85,88,69,66
SD980665 ,83,75,65,81,73,62,75,78,80,80,64,70,68,76,78,76,82,76,60,86,74,60,55
SD980666 ,87,90,68,75,85,76,84,91,83,82,83,62,76,75,75,76,69,68,89,94,88,74,79
SD980667 ,86,89,60,65,80,69,44,83,85,66,74,60,85,74,76,77,60,72,80,66,80,67,68
SD980668 ,NA,NA,40,54,51,61,71,69,NA,NA,NA,61,55,48,NA,NA,60,50,31,19,NA,NA,NA
SD980669 ,NA,NA,NA,73,75,67,67,NA,NA,NA,NA,76,55,NA,NA,NA,62,60,NA,60,NA,NA,NA
SD980670 ,85,80,62,70,78,75,70,70,83,79,66,79,73,73,74,78,73,60,60,86,82,71,82
SD980671 ,93,94,100,99,98,97,93,94,85,92,99,92,94,93,94,95,97,95,99,97,99,87,96
SD980672 ,82,88,61,56,61,61,73,76,80,82,71,60,60,69,76,74,60,60,60,60,85,60,62
SD980673 ,76,62,60,55,53,63,73,60,82,77,65,60,62,63,70,72,83,50,34,77,78,70,67
SD980675 ,82,80,60,65,51,62,78,69,80,70,63,63,60,62,70,71,71,60,72,87,87,73,80
SD980676 ,83,90,60,71,85,64,68,77,80,82,74,64,70,60,60,70,68,69,60,61,88,60,66
SD980678 ,75,90,67,70,55,68,74,69,88,84,74,64,72,60,73,72,76,60,60,63,79,60,66
SD980679 ,28,60,39,66,56,72,72,69,85,80,73,83,60,60,76,67,68,65,1,60,77,40,62
SD980680 ,60,60,60,55,17,60,74,60,88,63,61,61,60,68,64,69,61,50,60,60,76,60,54
SD980681 ,80,90,69,52,80,66,66,76,80,82,78,60,73,68,75,73,60,60,60,67,82,67,74
SD980682 ,86,88,78,53,72,81,78,81,90,74,71,72,69,79,80,79,60,69,60,80,91,68,60
SD980683 ,78,88,60,60,65,61,76,70,85,72,67,60,62,60,73,73,78,63,66,60,75,60,69
SD980684 ,60,86,60,60,80,65,72,67,80,73,69,62,67,64,70,66,65,53,60,64,74,63,73
