acyr,semr,sid,loam
98,2,SD970285 ,56190
98,2,SD970286 ,44290
98,2,SD970287 ,44290
98,2,SD970291 ,12290
98,2,SD970294 ,44290
98,2,SD970296 ,26679
98,2,SD970297 ,44290
98,2,SD970298 ,44290
98,2,SD970300 ,47290
98,2,SD970302 ,44290
98,2,SD970304 ,22290
98,2,SD970305 ,47290
98,2,SD970308 ,44290
98,2,SD970310 ,44290
98,2,SD970313 ,44290
98,2,SD970314 ,44290
98,2,SD970315 ,22290
98,2,SD970321 ,44290
98,2,SD970322 ,44290
98,2,SD970323 ,44290
98,2,SD970329 ,44290
98,2,SD970330 ,44290
98,2,SD970339 ,45165
98,2,SD970344 ,10165
98,2,SD970346 ,45165
98,2,SD970347 ,10165
98,2,SD970349 ,28165
98,2,SD970354 ,57065
98,2,SD970356 ,45165
98,2,SD970357 ,45165
98,2,SD970364 ,45165
98,2,SD970369 ,10165
98,2,SD970372 ,45165
98,2,SD970375 ,45165
98,2,SD970376 ,28165
98,2,SD970381 ,45165
98,2,SD970382 ,31165
98,2,SD970386 ,45165
98,2,SD970389 ,18165
98,2,SD970391 ,10165
98,2,SD970392 ,23165
98,2,SD970396 ,45165
98,2,SD970397 ,48165
98,2,SD970398 ,45165
98,2,SD970400 ,45165
98,2,SD970401 ,45165
98,2,SD970403 ,28165
98,2,SD970411 ,24760
98,2,SD970415 ,28165
98,2,SD970417 ,48165
98,2,SD970418 ,45165
98,2,SD970420 ,45165
98,2,SD970421 ,45165
98,2,SD970424 ,45165
98,2,SD970426 ,45165
98,2,SD970429 ,45165
98,2,SD970431 ,35554
98,2,SD970432 ,45165
98,2,SD970433 ,18165
98,2,SD970434 ,45165
98,2,SD970435 ,45165
98,2,SD970436 ,45165
98,2,SD970437 ,53165
98,2,SD970438 ,18165
98,2,SD970441 ,28165
98,2,SD970446 ,44290
98,2,SD970447 ,44290
98,2,SD970452 ,44290
98,2,SD970454 ,44290
98,2,SD970455 ,44290
98,2,SD970460 ,44290
98,2,SD970461 ,44290
98,2,SD970463 ,44290
98,2,SD970467 ,44290
98,2,SD970470 ,44290
98,2,SD970471 ,44290
98,2,SD970475 ,44290
98,2,SD970477 ,26679
98,2,SD970482 ,44290
98,2,SD970487 ,44290
98,2,SD970488 ,32290
98,2,SD970494 ,44290
98,2,SD970495 ,44290
98,2,SD970503 ,44290
98,2,SD970504 ,9290
98,2,SD970507 ,44290
98,2,SD970508 ,44290
98,2,SD970512 ,44290
98,2,SD970522 ,44290
98,2,SD970529 ,44290
98,2,SD970533 ,44290
98,2,SD970543 ,9290
98,2,SD970544 ,9290
98,2,SD970547 ,9290
98,2,SD970549 ,44290
98,2,SD970550 ,44290
98,2,SD970561 ,44290
98,2,SD970563 ,48165
98,2,SD970566 ,45165
98,2,SD970567 ,45165
98,2,SD970568 ,10165
98,2,SD970570 ,45165
98,2,SD970574 ,45165
98,2,SD970575 ,10165
98,2,SD970576 ,18165
98,2,SD970580 ,25065
98,2,SD970581 ,45165
98,2,SD970582 ,45165
98,2,SD970588 ,45165
98,2,SD970594 ,45165
98,2,SD970606 ,45165
98,2,SD970608 ,45165
98,2,SD970609 ,45165
98,2,SD970611 ,45165
98,2,SD970612 ,18749
98,2,SD970613 ,60065
98,2,SD970621 ,45165
98,2,SD970622 ,45165
98,2,SD970623 ,18165
98,2,SD970627 ,45165
98,2,SD970629 ,10165
98,2,SD970637 ,45165
98,2,SD970638 ,10165
98,2,SD970639 ,18749
98,2,SD970641 ,35554
98,2,SD970643 ,45165
98,2,SD970647 ,48165
98,2,SD970649 ,45165
98,2,SD970651 ,45165
98,2,SD970658 ,28165
98,2,SD970673 ,45165
98,2,SD970680 ,45165
98,2,SD970681 ,45165
