sid,mm,ma,fm,ac,apec,inap,eci,eebm,ima,mana,pom,hrm,esm,mads,erem,pjm,ines,cala,calb,sta,stb,ec
SD990525 ,81,96,75,77,NA,NA,NA,94,NA,86,79,78,90,82,75,81,73,NA,NA,NA,NA,NA
SD990526 ,NA,NA,27,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD990527 ,79,96,83,79,96,85,91,96,99,91,90,84,73,90,79,88,80,87,99,81,92,79
SD990528 ,82,85,70,82,75,80,81,85,99,85,83,83,76,88,78,75,90,84,70,78,82,69
SD990529 ,77,82,62,61,77,90,73,83,86,90,66,89,56,92,67,78,82,60,60,50,40,50
SD990530 ,62,71,60,70,62,35,62,60,70,68,82,75,66,90,75,64,80,29,24,43,NA,76
SD990532 ,81,85,94,99,99,87,95,99,99,96,98,96,73,90,83,97,94,76,91,70,87,92
SD990533 ,64,78,86,72,73,86,63,66,91,88,74,79,67,88,68,66,86,60,60,50,49,62
SD990534 ,63,70,36,68,60,92,83,60,92,83,81,63,NA,90,68,62,81,65,22,63,NA,53
SD990535 ,85,80,72,94,91,87,92,99,99,87,95,91,72,88,82,86,89,78,72,80,80,84
SD990536 ,86,92,84,99,95,84,99,99,99,95,88,91,78,90,81,94,90,87,76,91,90,95
SD990537 ,70,84,63,77,82,84,75,60,82,75,78,82,63,90,64,63,66,86,74,64,71,78
